Session started: 11/15/2025 4:16:43 PM
WaveFormat: 44100Hz, 32bit, 2ch
Set provider 0: active
Set provider 1: active
Read 1: samples=1024, pre-sum max=0.000, post-sum max=0.000, post-clamp max=0.000
Read 101: samples=1024, pre-sum max=0.831, post-sum max=1.831, post-clamp max=1.000
Read 201: samples=1024, pre-sum max=0.234, post-sum max=1.143, post-clamp max=1.000
Read 301: samples=1024, pre-sum max=0.960, post-sum max=1.416, post-clamp max=1.000
Read 401: samples=1024, pre-sum max=0.605, post-sum max=0.968, post-clamp max=0.968
Read 501: samples=1024, pre-sum max=0.007, post-sum max=1.003, post-clamp max=1.000
Read 601: samples=1024, pre-sum max=0.782, post-sum max=1.782, post-clamp max=1.000
Read 701: samples=1024, pre-sum max=0.220, post-sum max=1.106, post-clamp max=1.000
Read 801: samples=1024, pre-sum max=0.348, post-sum max=0.958, post-clamp max=0.958
Read 901: samples=1024, pre-sum max=0.718, post-sum max=1.700, post-clamp max=1.000
Read 1001: samples=1024, pre-sum max=0.000, post-sum max=0.999, post-clamp max=0.999
Read 1101: samples=1024, pre-sum max=0.661, post-sum max=0.762, post-clamp max=0.762
Read 1201: samples=1024, pre-sum max=0.850, post-sum max=1.850, post-clamp max=1.000
Read 1301: samples=1024, pre-sum max=0.874, post-sum max=1.683, post-clamp max=1.000
Read 1401: samples=1024, pre-sum max=0.413, post-sum max=1.381, post-clamp max=1.000
Read 1501: samples=1024, pre-sum max=0.159, post-sum max=1.102, post-clamp max=1.000
Read 1601: samples=1024, pre-sum max=0.758, post-sum max=1.074, post-clamp max=1.000
Read 1701: samples=1024, pre-sum max=0.234, post-sum max=1.090, post-clamp max=1.000
Read 1801: samples=1024, pre-sum max=0.658, post-sum max=1.367, post-clamp max=1.000
