Session started: 11/15/2025 1:27:27 PM
WaveFormat: 44100Hz, 32bit, 2ch
Set provider 0: active
Set provider 1: active
Read 1: samples=1024, pre-sum max=0.000, post-sum max=0.000, post-clamp max=0.000
Read 101: samples=1024, pre-sum max=0.259, post-sum max=1.171, post-clamp max=1.000
Read 201: samples=1024, pre-sum max=0.704, post-sum max=1.419, post-clamp max=1.000
Read 301: samples=1024, pre-sum max=0.314, post-sum max=1.285, post-clamp max=1.000
Read 401: samples=1024, pre-sum max=0.594, post-sum max=1.222, post-clamp max=1.000
Read 501: samples=1024, pre-sum max=0.632, post-sum max=1.279, post-clamp max=1.000
Read 601: samples=1024, pre-sum max=0.798, post-sum max=1.556, post-clamp max=1.000
Read 701: samples=1024, pre-sum max=0.753, post-sum max=1.333, post-clamp max=1.000
Read 801: samples=1024, pre-sum max=0.712, post-sum max=1.486, post-clamp max=1.000
Read 901: samples=1024, pre-sum max=0.837, post-sum max=1.535, post-clamp max=1.000
Read 1001: samples=1024, pre-sum max=0.528, post-sum max=1.393, post-clamp max=1.000
Read 1101: samples=1024, pre-sum max=0.325, post-sum max=1.286, post-clamp max=1.000
Read 1201: samples=1024, pre-sum max=0.160, post-sum max=1.157, post-clamp max=1.000
Read 1301: samples=1024, pre-sum max=1.000, post-sum max=1.947, post-clamp max=1.000
Read 1401: samples=1024, pre-sum max=0.709, post-sum max=1.595, post-clamp max=1.000
Read 1501: samples=1024, pre-sum max=0.573, post-sum max=1.360, post-clamp max=1.000
Read 1601: samples=1024, pre-sum max=0.735, post-sum max=1.508, post-clamp max=1.000
Read 1701: samples=1024, pre-sum max=0.539, post-sum max=1.388, post-clamp max=1.000
Read 1801: samples=1024, pre-sum max=0.930, post-sum max=1.507, post-clamp max=1.000
Read 1901: samples=1024, pre-sum max=0.988, post-sum max=1.393, post-clamp max=1.000
Read 2001: samples=1024, pre-sum max=0.990, post-sum max=1.231, post-clamp max=1.000
Read 2101: samples=1024, pre-sum max=0.818, post-sum max=1.608, post-clamp max=1.000
