Session started: 11/15/2025 1:31:42 PM
WaveFormat: 44100Hz, 32bit, 2ch
Set provider 0: active
Set provider 1: active
Read 1: samples=128, pre-sum max=0.000, post-sum max=0.000, post-clamp max=0.000
Read 101: samples=128, pre-sum max=0.864, post-sum max=0.744, post-clamp max=0.744
Read 201: samples=128, pre-sum max=0.115, post-sum max=0.605, post-clamp max=0.605
Read 301: samples=128, pre-sum max=0.127, post-sum max=0.972, post-clamp max=0.972
Read 401: samples=128, pre-sum max=0.739, post-sum max=1.215, post-clamp max=1.000
Read 501: samples=128, pre-sum max=0.739, post-sum max=0.579, post-clamp max=0.579
Read 601: samples=128, pre-sum max=0.233, post-sum max=1.087, post-clamp max=1.000
Read 701: samples=128, pre-sum max=0.003, post-sum max=0.988, post-clamp max=0.988
Read 801: samples=128, pre-sum max=0.649, post-sum max=1.248, post-clamp max=1.000
Read 901: samples=128, pre-sum max=0.073, post-sum max=0.100, post-clamp max=0.100
Read 1001: samples=128, pre-sum max=0.003, post-sum max=0.998, post-clamp max=0.998
Read 1101: samples=128, pre-sum max=0.634, post-sum max=1.633, post-clamp max=1.000
Read 1201: samples=128, pre-sum max=0.379, post-sum max=0.368, post-clamp max=0.368
Read 1301: samples=128, pre-sum max=0.132, post-sum max=0.983, post-clamp max=0.983
Read 1401: samples=128, pre-sum max=0.002, post-sum max=0.997, post-clamp max=0.997
Read 1501: samples=128, pre-sum max=0.323, post-sum max=1.032, post-clamp max=1.000
Read 1601: samples=128, pre-sum max=0.194, post-sum max=0.985, post-clamp max=0.985
Read 1701: samples=128, pre-sum max=0.001, post-sum max=0.992, post-clamp max=0.992
Read 1801: samples=128, pre-sum max=0.789, post-sum max=1.477, post-clamp max=1.000
Read 1901: samples=128, pre-sum max=0.027, post-sum max=0.134, post-clamp max=0.134
Read 2001: samples=128, pre-sum max=0.010, post-sum max=1.001, post-clamp max=1.000
Read 2101: samples=128, pre-sum max=0.429, post-sum max=1.061, post-clamp max=1.000
Read 2201: samples=128, pre-sum max=0.160, post-sum max=1.094, post-clamp max=1.000
Read 2301: samples=128, pre-sum max=0.126, post-sum max=1.026, post-clamp max=1.000
Read 2401: samples=128, pre-sum max=0.040, post-sum max=1.004, post-clamp max=1.000
Read 2501: samples=128, pre-sum max=0.320, post-sum max=1.251, post-clamp max=1.000
Read 2601: samples=128, pre-sum max=0.200, post-sum max=1.124, post-clamp max=1.000
Read 2701: samples=128, pre-sum max=0.009, post-sum max=1.001, post-clamp max=1.000
Read 2801: samples=128, pre-sum max=0.538, post-sum max=0.742, post-clamp max=0.742
Read 2901: samples=128, pre-sum max=0.004, post-sum max=0.020, post-clamp max=0.020
Read 3001: samples=128, pre-sum max=0.005, post-sum max=0.997, post-clamp max=0.997
Read 3101: samples=128, pre-sum max=0.706, post-sum max=0.857, post-clamp max=0.857
Read 3201: samples=128, pre-sum max=0.623, post-sum max=1.203, post-clamp max=1.000
Read 3301: samples=128, pre-sum max=0.145, post-sum max=1.039, post-clamp max=1.000
Read 3401: samples=128, pre-sum max=0.002, post-sum max=0.998, post-clamp max=0.998
Read 3501: samples=128, pre-sum max=0.329, post-sum max=1.204, post-clamp max=1.000
Read 3601: samples=128, pre-sum max=0.223, post-sum max=0.980, post-clamp max=0.980
Read 3701: samples=128, pre-sum max=0.001, post-sum max=0.997, post-clamp max=0.997
Read 3801: samples=128, pre-sum max=0.522, post-sum max=1.455, post-clamp max=1.000
Read 3901: samples=128, pre-sum max=0.023, post-sum max=0.107, post-clamp max=0.107
Read 4001: samples=128, pre-sum max=0.069, post-sum max=1.006, post-clamp max=1.000
Read 4101: samples=128, pre-sum max=0.614, post-sum max=1.241, post-clamp max=1.000
Read 4201: samples=128, pre-sum max=0.586, post-sum max=0.906, post-clamp max=0.906
Read 4301: samples=128, pre-sum max=0.113, post-sum max=1.069, post-clamp max=1.000
Read 4401: samples=128, pre-sum max=0.001, post-sum max=0.993, post-clamp max=0.993
Read 4501: samples=128, pre-sum max=0.696, post-sum max=0.608, post-clamp max=0.608
Read 4601: samples=128, pre-sum max=0.206, post-sum max=1.156, post-clamp max=1.000
Read 4701: samples=128, pre-sum max=0.003, post-sum max=0.993, post-clamp max=0.993
Read 4801: samples=128, pre-sum max=0.665, post-sum max=0.717, post-clamp max=0.717
Read 4901: samples=128, pre-sum max=0.009, post-sum max=0.460, post-clamp max=0.460
Read 5001: samples=128, pre-sum max=0.065, post-sum max=1.042, post-clamp max=1.000
Read 5101: samples=128, pre-sum max=0.529, post-sum max=1.227, post-clamp max=1.000
