Session started: 11/15/2025 1:53:41 PM
WaveFormat: 44100Hz, 32bit, 2ch
Set provider 0: active
Set provider 1: active
Read 1: samples=1024, pre-sum max=0.000, post-sum max=0.000, post-clamp max=0.000
Read 101: samples=1024, pre-sum max=0.000, post-sum max=1.000, post-clamp max=1.000
Read 201: samples=1024, pre-sum max=0.214, post-sum max=1.118, post-clamp max=1.000
Read 301: samples=1024, pre-sum max=0.001, post-sum max=1.000, post-clamp max=1.000
Read 401: samples=1024, pre-sum max=0.360, post-sum max=0.749, post-clamp max=0.749
Read 501: samples=1024, pre-sum max=0.032, post-sum max=1.017, post-clamp max=1.000
Read 601: samples=1024, pre-sum max=0.782, post-sum max=1.758, post-clamp max=1.000
Read 701: samples=1024, pre-sum max=0.220, post-sum max=1.106, post-clamp max=1.000
Read 801: samples=1024, pre-sum max=0.266, post-sum max=1.002, post-clamp max=1.000
Read 901: samples=1024, pre-sum max=0.632, post-sum max=1.099, post-clamp max=1.000
Read 1001: samples=1024, pre-sum max=0.213, post-sum max=1.102, post-clamp max=1.000
Read 1101: samples=1024, pre-sum max=0.787, post-sum max=1.785, post-clamp max=1.000
Read 1201: samples=1024, pre-sum max=0.231, post-sum max=1.112, post-clamp max=1.000
Read 1301: samples=1024, pre-sum max=0.002, post-sum max=1.001, post-clamp max=1.000
